time,RSSI1,RSSI2,RSSI3,RSSI4,RSSI5,RSSI6,RSSI7,RSSI8,RSSI9,RSSI10,state
95900,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
95910,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
95920,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
95930,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
95940,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
95950,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100000,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100010,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100020,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100030,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100040,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100050,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100800,-100,-100,-91,-100,-86,-100,-100,-51,-59,-68,stay
100810,-100,-100,-96,-100,-86,-100,-76,-55,-62,-68,stay
100820,-100,-100,-94,-100,-100,-80,-100,-55,-69,-68,stay
100830,-100,-100,-100,-100,-87,-100,-100,-54,-67,-68,stay
100840,-100,-100,-95,-100,-92,-100,-100,-57,-59,-71,stay
100850,-100,-100,-95,-100,-100,-80,-100,-57,-63,-65,stay
100900,-100,-100,-90,-100,-100,-100,-100,-54,-60,-71,stay
100910,-100,-100,-95,-100,-100,-83,-100,-60,-59,-70,stay
100920,-100,-100,-100,-100,-87,-100,-100,-56,-100,-65,stay
100930,-100,-100,-100,-100,-86,-100,-100,-55,-100,-70,stay
100940,-100,-100,-100,-100,-100,-100,-70,-55,-59,-100,stay
100950,-100,-100,-100,-100,-100,-100,-100,-57,-60,-67,stay
203000,-100,-100,-100,-92,-100,-92,-66,-49,-100,-77,stay
203010,-100,-100,-100,-100,-82,-100,-100,-48,-100,-76,stay
203020,-100,-100,-100,-100,-100,-100,-100,-60,-100,-77,stay
203030,-100,-100,-100,-90,-100,-100,-100,-61,-58,-100,stay
203040,-100,-100,-100,-100,-100,-100,-65,-100,-60,-79,stay
203050,-100,-100,-100,-100,-100,-100,-100,-47,-100,-77,stay
203100,-100,-100,-100,-100,-79,-100,-65,-47,-63,-100,stay
203110,-100,-100,-100,-100,-100,-100,-100,-100,-61,-79,stay
203120,-100,-100,-100,-100,-82,-100,-66,-48,-100,-80,stay
203130,-100,-100,-100,-100,-80,-100,-66,-48,-60,-74,stay
203140,-100,-100,-100,-100,-100,-100,-100,-49,-100,-74,stay
203150,-100,-100,-100,-100,-100,-100,-66,-54,-100,-74,stay
203100,-100,-100,-100,-100,-79,-100,-65,-47,-63,-100,stay
203110,-100,-100,-100,-100,-100,-100,-100,-100,-61,-79,stay
203120,-100,-100,-100,-100,-82,-100,-66,-48,-100,-80,stay
203130,-100,-100,-100,-100,-80,-100,-66,-48,-60,-74,stay
203140,-100,-100,-100,-100,-100,-100,-100,-49,-100,-74,stay
203150,-100,-100,-100,-100,-100,-100,-66,-54,-100,-74,stay
203200,-100,-96,-100,-100,-100,-100,-66,-54,-100,-75,stay
203210,-100,-100,-100,-87,-100,-88,-64,-100,-100,-76,stay
203220,-100,-100,-100,-100,-82,-100,-65,-53,-61,-78,stay
203230,-100,-100,-100,-100,-81,-100,-65,-49,-100,-100,stay
203240,-100,-100,-100,-100,-84,-100,-63,-50,-59,-79,stay
203250,-100,-100,-100,-100,-80,-100,-100,-53,-60,-100,stay
203200,-100,-96,-100,-100,-100,-100,-66,-54,-100,-75,stay
203210,-100,-100,-100,-87,-100,-88,-64,-100,-100,-76,stay
203220,-100,-100,-100,-100,-82,-100,-65,-53,-61,-78,stay
203230,-100,-100,-100,-100,-81,-100,-65,-49,-100,-100,stay
203240,-100,-100,-100,-100,-84,-100,-63,-50,-59,-79,stay
203250,-100,-100,-100,-100,-80,-100,-100,-53,-60,-100,stay
203300,-100,-100,-100,-100,-83,-100,-64,-63,-61,-80,stay
203310,-100,-100,-100,-100,-100,-100,-65,-53,-100,-100,stay
203320,-100,-100,-100,-100,-100,-100,-66,-46,-60,-100,stay
203330,-100,-100,-100,-100,-83,-100,-65,-50,-60,-81,stay
203340,-100,-100,-100,-100,-100,-100,-64,-53,-60,-78,stay
