Datetime,Real_state,Predicted_state_cgr,Predicted_state_cg
2025-05-15 08:38:00,outside,outside,outside
2025-05-15 08:39:00,outside,outside,outside
2025-05-15 08:41:00,outside,outside,outside
2025-05-15 08:42:00,outside,outside,outside
2025-05-15 08:43:00,outside,outside,outside
2025-05-15 08:44:00,outside,outside,outside
2025-05-15 08:45:00,outside,outside,outside
2025-05-15 08:47:00,outside,outside,outside
2025-05-15 08:48:00,outside,outside,outside
2025-05-15 08:49:00,outside,outside,outside
2025-05-15 08:50:00,outside,outside,outside
2025-05-15 08:51:00,outside,outside,outside
2025-05-15 08:53:00,outside,outside,outside
2025-05-15 08:54:00,outside,outside,outside
2025-05-15 08:55:00,outside,outside,outside
2025-05-15 08:56:00,outside,outside,outside
2025-05-15 08:57:00,outside,outside,outside
2025-05-15 08:58:00,outside,outside,outside
2025-05-15 09:00:00,outside,outside,outside
2025-05-15 09:01:00,outside,outside,outside
2025-05-15 09:02:00,outside,outside,outside
2025-05-15 09:03:00,outside,outside,outside
2025-05-15 09:05:00,outside,outside,outside
2025-05-15 09:06:00,outside,outside,outside
2025-05-15 09:07:00,arrival,arrival,arrival
2025-05-15 09:08:00,stay,stay,stay
2025-05-15 09:09:00,stay,stay,stay
2025-05-15 09:11:00,stay,stay,stay
2025-05-15 09:12:00,stay,stay,stay
2025-05-15 09:13:00,stay,stay,stay
2025-05-15 09:14:00,stay,stay,stay
2025-05-15 09:16:00,stay,stay,stay
2025-05-15 09:17:00,stay,stay,stay
2025-05-15 09:18:00,stay,stay,stay
2025-05-15 09:19:00,stay,stay,stay
2025-05-15 09:20:00,stay,stay,stay
2025-05-15 09:22:00,stay,stay,stay
2025-05-15 09:23:00,stay,stay,stay
2025-05-15 09:24:00,stay,stay,stay
2025-05-15 09:25:00,stay,stay,stay
2025-05-15 09:27:00,stay,stay,stay
2025-05-15 09:28:00,stay,stay,stay
2025-05-15 09:29:00,stay,stay,stay
2025-05-15 09:31:00,stay,stay,stay
2025-05-15 09:32:00,stay,stay,stay
2025-05-15 09:33:00,stay,stay,stay
2025-05-15 09:34:00,stay,stay,stay
2025-05-15 09:36:00,stay,stay,stay
2025-05-15 09:37:00,stay,stay,stay
2025-05-15 09:38:00,stay,stay,stay
2025-05-15 09:39:00,stay,stay,stay
2025-05-15 09:41:00,stay,stay,stay
2025-05-15 09:42:00,stay,stay,stay
2025-05-15 09:43:00,stay,stay,stay
2025-05-15 09:45:00,stay,stay,stay
2025-05-15 09:46:00,stay,stay,stay
2025-05-15 09:47:00,stay,stay,stay
2025-05-15 09:48:00,stay,stay,stay
2025-05-15 09:50:00,stay,stay,stay
2025-05-15 09:51:00,stay,stay,stay
2025-05-15 09:52:00,stay,stay,stay
2025-05-15 09:54:00,stay,stay,stay
2025-05-15 09:55:00,stay,stay,stay
2025-05-15 09:56:00,stay,stay,stay
2025-05-15 09:57:00,stay,stay,stay
2025-05-15 09:59:00,stay,stay,stay
2025-05-15 10:00:00,stay,stay,stay
2025-05-15 10:01:00,stay,stay,stay
2025-05-15 10:03:00,stay,stay,stay
2025-05-15 10:04:00,stay,stay,stay
2025-05-15 10:05:00,stay,stay,stay
2025-05-15 10:07:00,stay,stay,stay
2025-05-15 10:08:00,stay,stay,stay
2025-05-15 10:09:00,stay,stay,stay
2025-05-15 10:11:00,stay,stay,stay
2025-05-15 10:12:00,stay,stay,stay
2025-05-15 10:13:00,stay,stay,stay
2025-05-15 10:15:00,stay,stay,stay
2025-05-15 10:16:00,stay,stay,stay
2025-05-15 10:17:00,stay,stay,stay
2025-05-15 10:19:00,stay,stay,stay
2025-05-15 10:20:00,stay,stay,stay
2025-05-15 10:21:00,stay,stay,stay
2025-05-15 10:23:00,stay,stay,stay
2025-05-15 10:24:00,stay,stay,stay
2025-05-15 10:25:00,stay,stay,stay
2025-05-15 10:27:00,stay,stay,stay
2025-05-15 10:28:00,stay,stay,stay
2025-05-15 10:30:00,stay,stay,stay
2025-05-15 10:31:00,stay,stay,stay
2025-05-15 10:32:00,stay,stay,stay
2025-05-15 10:34:00,stay,stay,stay
2025-05-15 10:35:00,stay,stay,stay
2025-05-15 10:36:00,stay,stay,stay
2025-05-15 10:38:00,stay,stay,stay
2025-05-15 10:39:00,stay,stay,stay
2025-05-15 10:40:00,stay,stay,stay
2025-05-15 10:42:00,stay,stay,stay
2025-05-15 10:43:00,stay,stay,stay
2025-05-15 10:45:00,stay,stay,stay
2025-05-15 10:46:00,stay,stay,stay
2025-05-15 10:47:00,stay,stay,stay
2025-05-15 10:49:00,stay,stay,stay
2025-05-15 10:50:00,stay,stay,stay
2025-05-15 10:51:00,stay,stay,stay
2025-05-15 10:53:00,stay,stay,stay
2025-05-15 10:54:00,stay,stay,stay
2025-05-15 10:55:00,stay,stay,stay
2025-05-15 10:57:00,stay,stay,stay
2025-05-15 10:58:00,stay,stay,stay
2025-05-15 11:00:00,stay,stay,stay
2025-05-15 11:01:00,stay,stay,stay
2025-05-15 11:03:00,stay,stay,stay
2025-05-15 11:04:00,stay,stay,stay
2025-05-15 11:05:00,stay,stay,stay
2025-05-15 11:07:00,stay,stay,stay
2025-05-15 11:08:00,stay,stay,stay
2025-05-15 11:10:00,stay,stay,stay
2025-05-15 11:11:00,stay,stay,stay
2025-05-15 11:12:00,stay,stay,stay
2025-05-15 11:14:00,stay,stay,stay
2025-05-15 11:15:00,stay,stay,stay
2025-05-15 11:17:00,stay,stay,stay
2025-05-15 11:18:00,stay,stay,stay
2025-05-15 11:19:00,stay,stay,stay
2025-05-15 11:21:00,stay,stay,stay
2025-05-15 11:22:00,stay,stay,stay
2025-05-15 11:24:00,stay,stay,stay
2025-05-15 11:25:00,stay,stay,stay
2025-05-15 11:27:00,stay,stay,stay
2025-05-15 11:28:00,stay,stay,stay
2025-05-15 11:30:00,stay,stay,stay
2025-05-15 11:31:00,stay,stay,stay
2025-05-15 11:32:00,stay,stay,stay
2025-05-15 11:34:00,stay,stay,stay
2025-05-15 11:35:00,stay,stay,stay
2025-05-15 11:37:00,stay,stay,stay
2025-05-15 11:38:00,stay,stay,stay
2025-05-15 11:40:00,stay,stay,stay
2025-05-15 11:41:00,stay,stay,stay
2025-05-15 11:43:00,stay,stay,stay
2025-05-15 11:44:00,stay,stay,stay
2025-05-15 11:46:00,stay,stay,stay
2025-05-15 11:47:00,stay,stay,stay
2025-05-15 11:49:00,stay,stay,stay
2025-05-15 11:50:00,stay,stay,stay
2025-05-15 11:52:00,stay,stay,stay
2025-05-15 11:53:00,stay,stay,stay
2025-05-15 11:55:00,stay,stay,stay
2025-05-15 11:56:00,stay,stay,stay
2025-05-15 11:58:00,stay,stay,stay
2025-05-15 11:59:00,stay,stay,stay
2025-05-15 12:01:00,stay,stay,stay
2025-05-15 12:02:00,stay,stay,stay
2025-05-15 12:04:00,leave,leave,leave
2025-05-15 12:05:00,outside,outside,outside
2025-05-15 12:07:00,outside,outside,outside
2025-05-15 12:08:00,outside,outside,outside
2025-05-15 12:10:00,outside,outside,outside
2025-05-15 12:11:00,outside,outside,outside
2025-05-15 12:13:00,outside,outside,outside
2025-05-15 12:14:00,outside,outside,outside
2025-05-15 12:16:00,outside,outside,outside
2025-05-15 12:17:00,outside,outside,outside
2025-05-15 12:19:00,outside,outside,outside
2025-05-15 12:20:00,outside,outside,outside
2025-05-15 12:22:00,outside,outside,outside
2025-05-15 12:23:00,outside,outside,outside
2025-05-15 12:25:00,outside,outside,outside
2025-05-15 12:27:00,outside,outside,outside
2025-05-15 12:28:00,outside,outside,outside
2025-05-15 12:30:00,outside,outside,outside
2025-05-15 12:31:00,arrival,outside,outside
2025-05-15 12:33:00,stay,stay,stay
2025-05-15 12:34:00,stay,stay,stay
2025-05-15 12:36:00,stay,stay,stay
2025-05-15 12:37:00,stay,stay,stay
2025-05-15 12:39:00,stay,stay,stay
2025-05-15 12:41:00,stay,stay,stay
2025-05-15 12:42:00,stay,stay,stay
2025-05-15 12:44:00,stay,stay,stay
2025-05-15 12:45:00,stay,stay,stay
2025-05-15 12:47:00,stay,stay,stay
2025-05-15 12:48:00,stay,stay,stay
2025-05-15 12:50:00,stay,stay,stay
2025-05-15 12:52:00,stay,stay,stay
2025-05-15 12:53:00,stay,stay,stay
2025-05-15 12:55:00,stay,stay,stay
2025-05-15 12:56:00,stay,stay,stay
2025-05-15 12:58:00,stay,stay,stay
2025-05-15 12:59:00,stay,stay,stay
2025-05-15 13:01:00,stay,stay,stay
2025-05-15 13:03:00,stay,stay,stay
2025-05-15 13:04:00,stay,stay,stay
2025-05-15 13:06:00,stay,stay,stay
2025-05-15 13:07:00,stay,stay,stay
2025-05-15 13:09:00,stay,stay,stay
2025-05-15 13:11:00,stay,stay,stay
2025-05-15 13:12:00,stay,stay,stay
2025-05-15 13:14:00,stay,stay,stay
2025-05-15 13:15:00,stay,stay,stay
2025-05-15 13:17:00,stay,stay,stay
2025-05-15 13:19:00,stay,stay,stay
2025-05-15 13:20:00,stay,stay,stay
2025-05-15 13:22:00,stay,stay,stay
2025-05-15 13:23:00,stay,stay,stay
2025-05-15 13:25:00,stay,stay,stay
2025-05-15 13:27:00,stay,stay,stay
2025-05-15 13:28:00,stay,stay,stay
2025-05-15 13:30:00,stay,stay,stay
2025-05-15 13:31:00,stay,stay,stay
2025-05-15 13:33:00,stay,stay,stay
2025-05-15 13:35:00,stay,stay,stay
2025-05-15 13:36:00,stay,stay,stay
2025-05-15 13:38:00,stay,stay,stay
2025-05-15 13:40:00,stay,stay,stay
2025-05-15 13:41:00,stay,stay,stay
2025-05-15 13:43:00,stay,stay,stay
2025-05-15 13:45:00,stay,stay,stay
2025-05-15 13:46:00,stay,stay,stay
2025-05-15 13:48:00,stay,stay,stay
2025-05-15 13:50:00,stay,stay,stay
2025-05-15 13:51:00,stay,stay,stay
2025-05-15 13:53:00,stay,stay,stay
2025-05-15 13:55:00,stay,stay,stay
2025-05-15 13:57:00,stay,stay,stay
2025-05-15 13:58:00,stay,stay,stay
2025-05-15 14:00:00,stay,stay,stay
2025-05-15 14:01:00,stay,stay,stay
2025-05-15 14:03:00,stay,stay,stay
2025-05-15 14:05:00,stay,stay,stay
2025-05-15 14:07:00,stay,stay,stay
2025-05-15 14:08:00,stay,stay,stay
2025-05-15 14:10:00,stay,stay,stay
2025-05-15 14:12:00,stay,stay,stay
2025-05-15 14:13:00,stay,stay,stay
2025-05-15 14:15:00,stay,stay,stay
2025-05-15 14:17:00,stay,stay,outside
2025-05-15 14:18:00,stay,stay,stay
2025-05-15 14:20:00,stay,stay,stay
2025-05-15 14:22:00,stay,stay,stay
2025-05-15 14:23:00,stay,stay,stay
2025-05-15 14:25:00,stay,stay,outside
2025-05-15 14:27:00,stay,stay,stay
2025-05-15 14:28:00,stay,stay,stay
2025-05-15 14:30:00,stay,stay,stay
2025-05-15 14:32:00,stay,stay,stay
2025-05-15 14:33:00,stay,stay,stay
2025-05-15 14:35:00,stay,stay,stay
2025-05-15 14:37:00,stay,stay,stay
2025-05-15 14:38:00,stay,stay,stay
2025-05-15 14:40:00,stay,stay,stay
2025-05-15 14:42:00,stay,arrival,arrival
2025-05-15 14:44:00,stay,leave,leave
2025-05-15 14:45:00,stay,stay,stay
2025-05-15 14:47:00,stay,stay,stay
2025-05-15 14:49:00,stay,stay,stay
2025-05-15 14:50:00,stay,stay,stay
2025-05-15 14:52:00,stay,stay,stay
2025-05-15 14:54:00,stay,stay,stay
2025-05-15 14:56:00,stay,stay,stay
2025-05-15 14:57:00,stay,stay,stay
2025-05-15 14:59:00,stay,stay,stay
2025-05-15 15:01:00,stay,stay,stay
2025-05-15 15:03:00,stay,stay,stay
2025-05-15 15:04:00,stay,leave,leave
2025-05-15 15:06:00,stay,stay,stay
2025-05-15 15:08:00,stay,stay,stay
2025-05-15 15:10:00,stay,stay,stay
2025-05-15 15:11:00,stay,stay,stay
2025-05-15 15:13:00,stay,stay,stay
2025-05-15 15:15:00,stay,stay,stay
2025-05-15 15:17:00,stay,stay,stay
2025-05-15 15:19:00,stay,stay,stay
2025-05-15 15:20:00,stay,stay,stay
2025-05-15 15:22:00,stay,stay,stay
2025-05-15 15:24:00,stay,stay,stay
2025-05-15 15:26:00,stay,stay,stay
2025-05-15 15:28:00,stay,stay,stay
2025-05-15 15:29:00,stay,stay,stay
2025-05-15 15:31:00,stay,stay,stay
2025-05-15 15:33:00,stay,stay,stay
2025-05-15 15:35:00,stay,stay,stay
2025-05-15 15:36:00,stay,stay,stay
2025-05-15 15:38:00,stay,stay,stay
2025-05-15 15:40:00,stay,stay,stay
2025-05-15 15:42:00,stay,stay,stay
2025-05-15 15:44:00,stay,stay,stay
2025-05-15 15:46:00,stay,stay,stay
2025-05-15 15:47:00,stay,stay,stay
2025-05-15 15:49:00,stay,stay,stay
2025-05-15 15:51:00,stay,stay,stay
2025-05-15 15:53:00,stay,stay,stay
2025-05-15 15:55:00,stay,stay,stay
2025-05-15 15:57:00,stay,stay,stay
2025-05-15 15:58:00,stay,stay,stay
2025-05-15 16:00:00,stay,stay,stay
2025-05-15 16:02:00,stay,stay,stay
2025-05-15 16:04:00,stay,stay,stay
2025-05-15 16:06:00,stay,stay,stay
