Time,Accumulated_Energy_Consumption(Wh)
2025/5/25 0:00,5644677
2025/5/25 12:23,5644688
2025/5/25 13:23,5644888
2025/5/25 14:23,5645049
2025/5/25 15:23,5645168
2025/5/25 16:23,5645313
2025/5/25 17:46,5645475
2025/5/25 19:46,5645770
2025/5/25 20:46,5645893
2025/5/25 21:46,5646013
2025/5/25 22:46,5646129
2025/5/25 23:46,5646164
2025/5/26 0:46,5646184
2025/5/26 1:46,5646205
2025/5/26 2:46,5646226
2025/5/26 3:46,5646247
2025/5/26 4:45,5646268
2025/5/26 5:45,5646289
2025/5/26 6:45,5646310
2025/5/26 7:45,5646331
2025/5/26 8:45,5646352
2025/5/26 9:45,5646402
2025/5/26 10:45,5646557
2025/5/26 11:45,5646708
2025/5/26 13:05,5646852
2025/5/26 14:05,5647022
2025/5/26 15:05,5647239
2025/5/26 16:05,5647597
2025/5/26 17:05,5648092
2025/5/26 18:04,5648524
2025/5/26 19:04,5648922
2025/5/26 20:04,5649278
2025/5/26 21:04,5649484
2025/5/26 22:04,5649858
2025/5/26 23:04,5650313
2025/5/27 0:04,5650658
2025/5/27 8:16,5650669
2025/5/27 9:15,5651084
2025/5/27 10:15,5651220
2025/5/27 11:15,5651336
2025/5/27 12:15,5651467
2025/5/27 13:15,5651610
2025/5/27 14:15,5651750
2025/5/27 15:15,5651865
2025/5/27 16:15,5651995
2025/5/27 17:15,5652132
2025/5/27 18:15,5652255
2025/5/27 19:15,5652365
2025/5/27 20:14,5652485
2025/5/27 21:14,5652611
2025/5/27 22:14,5652716
2025/5/27 23:14,5652826
2025/5/28 0:14,5652937
2025/5/28 1:14,5653056
2025/5/28 2:14,5653152
2025/5/28 3:14,5653196
2025/5/28 4:14,5653215
2025/5/28 5:14,5653234
2025/5/28 6:14,5653254
2025/5/28 7:14,5653275
2025/5/28 8:13,5653296
2025/5/28 9:13,5653316
2025/5/28 10:13,5653336
2025/5/28 11:13,5653357
2025/5/28 12:13,5653377
2025/5/28 13:13,5653397
2025/5/28 14:13,5653418
2025/5/28 15:13,5653438
2025/5/28 16:13,5653459
2025/5/28 17:13,5653479
2025/5/28 18:13,5653499
2025/5/28 19:12,5653520
2025/5/28 20:12,5653541
2025/5/28 21:12,5653561
2025/5/28 22:12,5653582
2025/5/28 23:12,5653603
2025/5/29 0:12,5653623
2025/5/29 1:12,5653643
2025/5/29 2:12,5653663
2025/5/29 3:12,5653682
2025/5/29 9:36,5653693
2025/5/29 10:36,5653727
2025/5/29 11:36,5653868
2025/5/29 12:36,5654010
2025/5/29 13:36,5654167
2025/5/29 14:35,5654353
2025/5/29 15:35,5654567
2025/5/29 16:35,5654792
2025/5/29 17:35,5654991
2025/5/29 18:35,5655183
2025/5/29 19:35,5655487
2025/5/29 20:35,5655756
2025/5/29 21:35,5655928
2025/5/29 22:35,5656068
2025/5/29 23:35,5656148
2025/5/30 8:43,5656159
2025/5/30 9:43,5656587
2025/5/30 10:43,5656761
2025/5/30 11:43,5656907
2025/5/30 12:42,5657073
2025/5/30 13:42,5657371
2025/5/30 14:42,5658066
2025/5/30 15:42,5658500
2025/5/30 16:42,5658882
2025/5/30 17:42,5659109
2025/5/30 18:42,5659410
2025/5/30 19:42,5659637
2025/5/30 20:42,5659812
2025/5/30 21:43,5660357
2025/5/30 22:43,5660754
2025/5/30 23:43,5660795
