Time,Illuminance(lux)
2025-05-25 00:13:01,0.0
2025-05-25 00:18:00,0.0
2025-05-25 01:12:55,0.0
2025-05-25 02:07:51,0.0
2025-05-25 03:02:47,0.0
2025-05-25 03:57:43,0.0
2025-05-25 04:52:38,0.0
2025-05-25 05:34:41,22.0
2025-05-25 05:34:46,10.0
2025-05-25 05:47:34,13.0
2025-05-25 06:09:59,17.0
2025-05-25 06:25:27,24.0
2025-05-25 06:30:46,31.0
2025-05-25 06:34:06,38.0
2025-05-25 06:42:30,40.0
2025-05-25 07:09:34,45.0
2025-05-25 07:11:54,54.0
2025-05-25 07:14:53,64.0
2025-05-25 07:17:48,76.0
2025-05-25 07:22:52,64.0
2025-05-25 07:24:37,54.0
2025-05-25 07:37:26,52.0
2025-05-25 07:42:17,64.0
2025-05-25 07:45:42,54.0
2025-05-25 07:47:07,47.0
2025-05-25 07:48:47,40.0
2025-05-25 08:03:05,47.0
2025-05-25 08:29:22,56.0
2025-05-25 08:32:22,67.0
2025-05-25 08:32:39,67.0
2025-05-25 08:45:27,56.0
2025-05-25 08:47:32,49.0
2025-05-25 08:56:21,58.0
2025-05-25 09:00:00,49.0
2025-05-25 09:02:05,42.0
2025-05-25 09:07:40,49.0
2025-05-25 09:26:42,58.0
2025-05-25 09:27:17,60.0
2025-05-25 09:52:22,69.0
2025-05-25 10:12:19,82.0
2025-05-25 10:22:13,91.0
2025-05-25 11:09:20,97.0
2025-05-25 11:17:09,114.0
2025-05-25 11:23:15,115.0
2025-05-25 11:37:43,97.0
2025-05-25 11:44:13,115.0
2025-05-25 11:52:02,137.0
2025-05-25 12:06:10,162.0
2025-05-25 12:12:04,146.0
2025-05-25 12:19:26,137.0
2025-05-25 12:31:49,162.0
2025-05-25 12:33:09,277.0
2025-05-25 12:50:52,235.0
2025-05-25 12:57:51,277.0
2025-05-25 13:07:00,262.0
2025-05-25 13:18:41,235.0
2025-05-25 14:01:56,243.0
2025-05-25 14:24:00,199.0
2025-05-25 14:47:47,235.0
2025-05-25 14:56:51,249.0
2025-05-25 15:36:33,199.0
2025-05-25 15:51:47,183.0
2025-05-25 16:37:18,169.0
2025-05-25 16:46:42,164.0
2025-05-25 17:41:38,153.0
2025-05-25 18:24:05,143.0
2025-05-25 18:36:34,144.0
2025-05-25 19:31:29,134.0
2025-05-25 20:26:25,134.0
2025-05-25 21:21:20,133.0
2025-05-25 22:16:16,133.0
2025-05-25 22:22:17,0.0
2025-05-25 23:11:11,0.0
2025-05-26 00:06:07,0.0
2025-05-26 01:01:02,0.0
2025-05-26 01:55:57,0.0
2025-05-26 02:50:53,0.0
2025-05-26 03:45:48,0.0
2025-05-26 04:40:43,0.0
2025-05-26 05:33:14,22.0
2025-05-26 05:33:19,10.0
2025-05-26 05:35:39,11.0
2025-05-26 05:55:03,17.0
2025-05-26 06:05:07,24.0
2025-05-26 06:15:36,31.0
2025-05-26 06:30:34,38.0
2025-05-26 06:31:41,38.0
2025-05-26 06:48:44,45.0
2025-05-26 06:55:08,54.0
2025-05-26 07:05:22,64.0
2025-05-26 07:16:36,76.0
2025-05-26 07:23:15,90.0
