Time,Indoor_temperature
2025-05-25 00:05:30,25.23
2025-05-25 00:09:12,25.75
2025-05-25 00:13:34,26.28
2025-05-25 00:22:37,26.78
2025-05-25 00:29:50,27.05
2025-05-25 00:33:12,27.12
2025-05-25 01:10:25,27.55
2025-05-25 01:23:40,27.5
2025-05-25 01:32:24,27.55
2025-05-25 01:52:52,27.6
2025-05-25 02:16:00,27.55
2025-05-25 02:25:13,27.62
2025-05-25 02:31:06,27.6
2025-05-25 02:54:45,27.68
2025-05-25 03:23:45,27.61
2025-05-25 03:28:18,27.67
2025-05-25 04:15:55,27.55
2025-05-25 05:15:36,27.57
2025-05-25 05:27:01,27.5
2025-05-25 05:49:19,27.4
2025-05-25 06:12:07,27.41
2025-05-25 06:33:56,27.45
2025-05-25 07:01:36,27.43
2025-05-25 07:10:39,27.41
2025-05-25 07:21:14,27.41
2025-05-25 08:04:29,27.43
2025-05-25 08:08:01,27.36
2025-05-25 08:25:58,27.36
2025-05-25 08:57:30,27.36
2025-05-25 09:06:43,27.36
2025-05-25 09:25:30,27.38
2025-05-25 09:56:01,27.43
2025-05-25 09:57:42,27.4
2025-05-25 10:56:14,27.47
2025-05-25 11:02:37,27.51
2025-05-25 11:15:11,27.54
2025-05-25 11:29:17,27.55
2025-05-25 11:47:13,27.64
2025-05-25 11:54:06,27.62
2025-05-25 12:01:59,27.68
2025-05-25 12:06:01,27.73
2025-05-25 12:20:56,27.75
2025-05-25 12:26:39,27.25
2025-05-25 12:28:50,26.74
2025-05-25 12:31:51,26.21
2025-05-25 12:36:33,25.7
2025-05-25 12:48:08,25.2
2025-05-25 12:50:19,25.09
2025-05-25 13:12:28,24.89
2025-05-25 13:24:33,24.93
2025-05-25 13:26:34,24.89
2025-05-25 13:42:51,24.89
2025-05-25 13:51:25,25.07
2025-05-25 14:01:49,25.05
2025-05-25 14:24:08,25.12
2025-05-25 14:33:32,25.2
2025-05-25 15:08:46,25.07
2025-05-25 15:30:35,25.35
2025-05-25 15:32:36,25.37
2025-05-25 15:41:19,25.37
2025-05-25 15:50:43,24.86
2025-05-25 15:54:15,24.72
2025-05-25 16:29:19,24.76
2025-05-25 16:48:26,25.23
2025-05-25 17:17:37,25.56
2025-05-25 17:28:52,25.75
2025-05-25 17:37:36,25.86
2025-05-25 17:54:23,25.31
2025-05-25 17:58:14,24.78
2025-05-25 18:13:00,24.5
2025-05-25 18:22:44,24.51
2025-05-25 18:41:52,24.74
2025-05-25 18:57:49,25.18
2025-05-25 19:17:57,25.69
2025-05-25 19:23:09,25.73
2025-05-25 19:41:36,25.16
2025-05-25 19:48:49,24.65
2025-05-25 20:03:05,24.58
2025-05-25 20:20:42,25.1
2025-05-25 20:23:23,25.38
2025-05-25 20:34:08,24.99
2025-05-25 20:43:02,24.97
2025-05-25 20:46:43,24.96
2025-05-25 21:22:07,24.83
2025-05-25 21:24:49,24.87
2025-05-25 21:36:23,25.39
2025-05-25 21:56:11,25.81
2025-05-25 22:12:58,25.52
2025-05-25 22:13:59,25.24
2025-05-25 22:19:01,24.69
2025-05-25 22:26:54,24.16
2025-05-25 23:01:58,23.57
2025-05-25 23:06:40,23.61
2025-05-25 23:24:08,24.08
2025-05-25 23:33:52,24.58
2025-05-25 23:47:48,25.13
2025-05-26 00:04:44,24.75
2025-05-26 00:26:54,25.52
2025-05-26 00:53:03,25.02
2025-05-26 00:58:46,24.48
2025-05-26 01:03:38,24.24
2025-05-26 01:15:03,23.98
2025-05-26 01:34:21,23.89
2025-05-26 01:55:40,24.15
2025-05-26 01:58:52,24.23
2025-05-26 02:21:20,24.74
2025-05-26 02:46:40,24.81
2025-05-26 03:04:18,25.25
2025-05-26 03:22:45,25.49
2025-05-26 03:45:34,25.58
2025-05-26 04:25:09,25.63
2025-05-26 04:35:43,25.66
2025-05-26 04:39:35,25.63
2025-05-26 04:39:45,25.63
2025-05-26 05:05:26,25.59
2025-05-26 05:29:45,25.55
2025-05-26 05:39:19,25.56
2025-05-26 05:52:55,25.52
2025-05-26 06:32:30,25.48
2025-05-26 06:34:51,25.44
2025-05-26 07:11:36,25.52
2025-05-26 07:27:52,25.48
2025-05-26 08:04:36,25.66
2025-05-26 08:18:52,25.77
2025-05-26 08:29:07,25.91
2025-05-26 08:35:49,25.41
2025-05-26 08:42:22,24.89
2025-05-26 09:02:10,24.55
2025-05-26 10:15:29,24.93
2025-05-26 11:08:41,24.69
2025-05-26 11:54:19,24.76
2025-05-26 12:16:18,25.03
2025-05-26 12:28:13,25.21
2025-05-26 12:57:14,24.89
2025-05-26 13:01:46,25.18
2025-05-26 13:05:28,25.44
2025-05-26 13:09:00,25.8
2025-05-26 13:23:55,25.94
2025-05-26 13:45:34,26.15
2025-05-26 13:57:38,26.19
2025-05-26 13:59:19,26.19
2025-05-26 14:02:11,25.68
2025-05-26 14:07:03,25.16
2025-05-26 14:19:58,24.71
2025-05-26 14:31:53,24.53
2025-05-26 14:41:37,24.41
2025-05-26 14:50:51,24.57
2025-05-26 14:55:13,24.92
2025-05-26 15:00:26,25.44
2025-05-26 15:10:20,25.94
2025-05-26 15:23:15,26.44
2025-05-26 15:37:50,26.36
2025-05-26 15:45:23,26.36
2025-05-26 16:00:50,26.32
2025-05-26 16:04:31,25.8
2025-05-26 16:09:03,25.3
2025-05-26 16:23:49,24.79
2025-05-26 16:44:57,24.64
2025-05-26 16:56:53,24.61
2025-05-26 17:11:28,24.71
2025-05-26 17:25:14,24.79
2025-05-26 17:42:21,24.99
2025-05-26 18:08:01,25.3
2025-05-26 18:33:11,25.51
2025-05-26 18:42:05,24.96
2025-05-26 19:20:50,25.17
2025-05-26 19:24:22,25.16
2025-05-26 19:32:05,25.18
2025-05-26 19:56:15,25.44
2025-05-26 20:11:21,24.93
2025-05-26 20:20:35,24.64
2025-05-26 20:37:32,24.54
2025-05-26 20:47:06,25.05
2025-05-26 20:50:18,25.56
2025-05-26 20:53:19,26.07
2025-05-26 20:57:11,26.58
2025-05-26 21:02:13,27.09
2025-05-26 21:08:15,27.62
2025-05-26 21:13:37,27.84
2025-05-26 21:17:29,28.14
2025-05-26 21:33:05,27.78
2025-05-26 21:57:34,27.27
2025-05-26 22:11:40,27.17
2025-05-26 22:29:47,26.77
2025-05-26 23:00:18,26.25
2025-05-26 23:03:20,26.15
2025-05-26 23:13:54,26.29
2025-05-26 23:35:12,26.57
2025-05-26 23:50:59,26.51
2025-05-26 23:54:20,26.7
2025-05-26 23:59:32,27.05
2025-05-27 00:09:26,27.55
2025-05-27 00:23:51,28.06
2025-05-27 00:44:29,28.4
2025-05-27 00:52:32,28.45
2025-05-27 01:03:17,28.56
2025-05-27 01:50:13,28.67
2025-05-27 02:18:13,28.66
2025-05-27 02:45:23,28.7
2025-05-27 02:54:27,28.7
2025-05-27 03:38:32,28.61
2025-05-27 03:46:26,28.63
2025-05-27 04:16:47,28.59
2025-05-27 04:30:02,28.59
2025-05-27 05:06:35,28.58
2025-05-27 05:27:52,28.48
2025-05-27 05:29:03,28.52
2025-05-27 06:21:52,28.4
2025-05-27 06:28:35,28.35
2025-05-27 06:56:25,28.37
2025-05-27 07:04:59,28.42
2025-05-27 07:13:42,28.4
2025-05-27 07:29:58,28.47
2025-05-27 08:06:42,28.54
2025-05-27 08:18:36,27.89
2025-05-27 08:21:07,27.38
2025-05-27 08:23:39,26.81
2025-05-27 08:26:50,26.31
2025-05-27 08:31:22,25.77
2025-05-27 08:37:35,25.25
2025-05-27 08:47:09,24.74
2025-05-27 08:59:24,24.23
2025-05-27 09:05:57,24.19
2025-05-27 09:23:54,24.75
2025-05-27 09:57:17,24.9
2025-05-27 10:45:47,24.87
2025-05-27 10:55:11,25.0
2025-05-27 11:14:58,25.27
2025-05-27 11:38:08,24.76
2025-05-27 11:46:31,24.57
2025-05-27 12:24:47,24.76
2025-05-27 13:32:03,25.17
2025-05-27 13:39:06,24.9
2025-05-27 13:51:42,24.65
2025-05-27 14:04:27,24.83
2025-05-27 14:27:36,24.9
2025-05-27 14:33:39,24.83
2025-05-27 15:05:21,25.21
2025-05-27 15:14:25,24.71
2025-05-27 15:32:13,24.53
2025-05-27 16:10:28,24.47
2025-05-27 16:24:13,24.61
2025-05-27 16:42:11,24.97
2025-05-27 17:10:12,24.47
2025-05-27 17:20:46,24.38
2025-05-27 18:13:28,24.97
2025-05-27 18:15:39,25.02
2025-05-27 18:28:44,25.49
2025-05-27 18:56:55,25.31
2025-05-27 19:14:02,24.97
2025-05-27 19:31:29,25.1
2025-05-27 20:12:35,25.61
2025-05-27 20:14:26,25.56
2025-05-27 20:47:29,25.35
2025-05-27 21:02:45,25.31
2025-05-27 21:07:07,24.81
2025-05-27 21:11:19,24.44
2025-05-27 21:13:30,24.3
2025-05-27 21:41:42,24.3
2025-05-27 21:56:58,24.41
2025-05-27 22:02:00,24.44
2025-05-27 22:02:41,24.47
2025-05-27 22:36:35,25.06
2025-05-27 22:48:50,25.17
2025-05-27 22:56:53,25.31
2025-05-27 22:57:23,25.34
2025-05-27 23:36:39,25.49
2025-05-27 23:52:25,25.56
2025-05-28 00:08:02,25.48
2025-05-28 00:27:20,25.38
2025-05-28 00:48:28,25.35
2025-05-28 00:48:38,25.37
2025-05-28 00:52:30,25.39
2025-05-28 00:57:32,25.35
2025-05-28 01:27:14,25.23
2025-05-28 01:42:10,25.23
2025-05-28 01:43:11,25.24
2025-05-28 02:20:56,25.05
2025-05-28 02:33:41,25.05
2025-05-28 02:39:34,25.16
2025-05-28 03:30:34,25.41
2025-05-28 04:12:41,25.52
2025-05-28 04:22:55,25.46
2025-05-28 04:25:27,25.52
2025-05-28 04:38:22,25.53
2025-05-28 05:16:46,25.46
2025-05-28 06:05:06,25.39
2025-05-28 06:15:09,25.37
2025-05-28 06:43:11,25.31
2025-05-28 07:08:11,25.23
2025-05-28 07:56:50,25.37
2025-05-28 08:14:18,25.42
2025-05-28 08:18:29,25.45
2025-05-28 08:39:48,25.49
2025-05-28 08:59:05,25.72
2025-05-28 09:12:31,25.86
2025-05-28 09:30:28,25.35
2025-05-28 09:44:24,24.85
2025-05-28 09:50:46,24.76
2025-05-28 10:44:48,24.57
2025-05-28 11:19:22,25.1
2025-05-28 11:32:37,25.16
2025-05-28 11:38:20,25.09
2025-05-28 11:41:42,25.2
2025-05-28 11:55:27,25.59
2025-05-28 11:58:29,25.69
2025-05-28 12:16:46,25.79
2025-05-28 12:23:39,25.28
2025-05-28 12:30:01,25.12
2025-05-28 12:43:47,24.78
2025-05-28 13:04:06,24.81
2025-05-28 13:23:13,24.83
2025-05-28 14:12:53,24.85
2025-05-28 14:16:05,24.89
2025-05-28 15:04:54,25.35
2025-05-28 15:12:58,25.63
2025-05-28 15:20:51,25.87
2025-05-28 15:29:15,25.37
2025-05-28 15:38:28,24.86
2025-05-28 15:50:44,24.35
2025-05-28 16:05:19,24.19
2025-05-28 16:37:43,24.69
2025-05-28 16:44:56,24.51
2025-05-28 17:02:03,24.37
2025-05-28 17:46:31,24.97
2025-05-28 17:53:24,25.07
2025-05-28 18:01:17,25.34
2025-05-28 18:08:30,25.51
2025-05-28 18:20:55,25.0
2025-05-28 19:06:05,24.24
2025-05-28 19:39:18,24.48
2025-05-28 19:46:32,24.65
2025-05-28 20:08:00,25.21
2025-05-28 20:41:44,25.45
2025-05-28 20:49:47,25.62
2025-05-28 20:58:21,25.12
2025-05-28 21:11:06,24.69
2025-05-28 21:26:52,24.54
2025-05-28 21:34:46,24.47
2025-05-28 22:27:28,24.69
2025-05-28 22:29:50,24.87
2025-05-28 22:44:36,25.38
2025-05-28 23:20:50,25.73
2025-05-28 23:31:25,25.9
2025-05-29 00:13:00,25.93
2025-05-29 00:16:53,25.94
2025-05-29 00:52:36,25.91
2025-05-29 01:04:21,25.93
2025-05-29 01:23:39,25.93
2025-05-29 02:04:45,25.97
2025-05-29 03:01:27,25.84
2025-05-29 03:09:31,25.86
