Time,Accumulated_Energy_Consumption(Wh)
2025/5/15 0:57,3026268
2025/5/15 1:57,3026959
2025/5/15 2:57,3027746
2025/5/15 3:56,3027836
2025/5/15 12:23,3027847
2025/5/15 13:23,3028627
2025/5/15 15:23,3030195
2025/5/15 16:23,3030559
2025/5/15 17:23,3031324
2025/5/15 18:22,3032091
2025/5/15 19:22,3032837
2025/5/15 20:22,3033470
2025/5/15 21:22,3034229
2025/5/15 22:22,3034985
2025/5/15 23:22,3035018
2025/5/16 10:11,3035029
2025/5/16 11:22,3035040
2025/5/16 12:22,3035064
2025/5/16 13:21,3035088
2025/5/16 14:21,3035481
2025/5/16 15:21,3036306
2025/5/16 16:21,3037125
2025/5/16 17:21,3037927
2025/5/16 18:21,3038625
2025/5/16 19:21,3039423
2025/5/16 20:21,3039908
2025/5/17 7:14,3039919
2025/5/17 9:02,3039930
2025/5/17 10:02,3040725
2025/5/17 11:02,3041492
2025/5/17 12:02,3041515
2025/5/17 13:01,3041539
2025/5/17 14:01,3042225
2025/5/17 15:01,3043049
2025/5/17 16:01,3043874
2025/5/17 17:38,3044650
2025/5/17 18:38,3045466
2025/5/17 19:38,3046212
2025/5/17 20:38,3046593
2025/5/17 22:08,3046604
2025/5/17 23:08,3047409
2025/5/18 0:07,3048119
2025/5/18 1:07,3048424
2025/5/18 8:59,3048435
2025/5/18 9:59,3049234
2025/5/18 10:59,3050032
2025/5/18 11:59,3050063
2025/5/18 12:59,3050844
2025/5/18 13:59,3051668
2025/5/18 14:59,3052470
2025/5/18 15:58,3053226
2025/5/18 16:58,3054037
2025/5/18 17:58,3054794
2025/5/18 18:58,3055600
2025/5/18 19:58,3056355
2025/5/18 20:58,3056813
2025/5/18 21:58,3057618
2025/5/18 22:58,3058079
2025/5/19 8:45,3058090
2025/5/19 9:45,3058896
2025/5/19 10:45,3059714
2025/5/19 11:45,3059934
2025/5/19 12:45,3060671
2025/5/19 13:44,3061532
2025/5/19 14:44,3062397
2025/5/19 16:08,3063254
2025/5/19 17:07,3064105
2025/5/19 18:07,3064898
2025/5/19 19:07,3065739
2025/5/19 20:07,3066533
2025/5/19 21:07,3067327
2025/5/19 22:07,3068129
2025/5/19 23:07,3068935
2025/5/21 0:43,3086325
2025/5/21 1:43,3087130
2025/5/21 2:43,3087376
2025/5/21 3:43,3088189
2025/5/21 4:42,3088958
2025/5/21 5:42,3089728
2025/5/21 6:42,3090516
2025/5/21 12:20,3090527
2025/5/21 13:20,3091168
2025/5/21 14:20,3091340
2025/5/21 16:18,3091640
2025/5/21 17:18,3092535
2025/5/21 18:18,3093422
2025/5/21 19:18,3093931
2025/5/21 22:10,3093942
2025/5/21 23:10,3094231
2025/5/22 8:22,3094242
2025/5/22 9:22,3094639
2025/5/22 10:22,3095407
2025/5/22 11:22,3096220
2025/5/22 12:22,3097042
2025/5/22 13:22,3097865
2025/5/22 14:21,3098700
2025/5/22 15:21,3099538
2025/5/22 16:21,3100317
2025/5/22 17:21,3101095
2025/5/22 18:21,3101859
2025/5/22 19:21,3102603
2025/5/22 20:21,3103305
2025/5/22 21:21,3103562
2025/5/23 8:13,3103573
2025/5/23 9:52,3103584
2025/5/23 10:52,3103604
2025/5/23 14:00,3103615
2025/5/23 15:00,3104406
2025/5/23 16:00,3105205
2025/5/23 17:00,3105973
2025/5/23 18:00,3106432
2025/5/23 19:00,3106551
2025/5/23 20:00,3107320
2025/5/23 20:59,3107632
2025/5/24 7:49,3107643
2025/5/24 13:57,3107654
2025/5/24 14:57,3108442
2025/5/24 15:57,3109272
2025/5/24 16:57,3110064
2025/5/24 17:57,3110786
2025/5/24 18:56,3111537
2025/5/24 19:56,3112337
2025/5/24 20:56,3113089
2025/5/24 21:56,3113885
2025/5/24 22:56,3114628
2025/5/24 23:56,3115244
