Time,State
2025-05-15 19:17:03,0
2025-05-16 08:56:02,1
2025-05-16 09:34:03,0
2025-05-16 09:35:02,1
2025-05-16 10:19:03,0
2025-05-16 10:20:02,1
2025-05-16 10:27:03,0
2025-05-16 10:32:02,1
2025-05-16 12:24:04,0
2025-05-16 14:38:02,1
2025-05-16 18:55:03,0
2025-05-16 18:55:35,1
2025-05-16 18:56:03,0
2025-05-16 18:56:31,1
2025-05-16 19:32:04,0
2025-05-16 19:33:01,1
2025-05-16 20:00:03,0
2025-05-17 08:59:03,1
2025-05-17 09:15:04,0
2025-05-17 09:15:09,1
2025-05-17 09:21:03,0
2025-05-17 09:22:08,1
2025-05-17 09:23:04,0
2025-05-17 09:24:02,1
2025-05-17 09:25:03,0
2025-05-17 09:26:02,1
2025-05-17 09:27:04,0
2025-05-17 09:28:03,1
2025-05-17 09:29:04,0
2025-05-17 09:30:02,1
2025-05-17 09:31:04,0
2025-05-17 09:32:03,1
2025-05-17 09:33:04,0
2025-05-17 09:34:02,1
2025-05-17 10:12:04,0
2025-05-17 10:13:02,1
2025-05-17 10:14:03,0
2025-05-17 10:15:03,1
2025-05-17 12:00:04,0
2025-05-17 12:01:02,1
2025-05-17 12:02:04,0
2025-05-17 12:03:02,1
2025-05-17 12:04:03,0
2025-05-17 12:05:02,1
2025-05-17 12:06:04,0
2025-05-17 12:07:02,1
2025-05-17 12:08:03,0
2025-05-17 12:23:02,1
2025-05-17 12:27:03,0
2025-05-17 12:28:03,1
2025-05-17 12:29:04,0
2025-05-17 12:30:02,1
2025-05-17 12:31:03,0
2025-05-17 12:32:02,1
2025-05-17 12:54:03,0
2025-05-17 16:21:02,1
2025-05-17 16:53:10,0
2025-05-17 16:53:11,0
2025-05-17 16:55:06,1
2025-05-17 16:55:09,1
2025-05-17 18:07:04,0
2025-05-18 08:59:01,1
2025-05-18 11:05:03,0
2025-05-18 11:06:01,1
2025-05-18 11:07:04,0
2025-05-18 11:08:01,1
2025-05-18 11:09:03,0
2025-05-18 11:10:02,1
2025-05-18 11:11:03,0
2025-05-18 11:13:01,1
2025-05-18 11:14:03,0
2025-05-18 11:18:02,1
2025-05-18 11:19:03,0
2025-05-18 11:20:01,1
2025-05-18 11:21:03,0
2025-05-18 11:22:01,1
2025-05-18 11:23:03,0
2025-05-18 11:24:01,1
2025-05-18 11:25:02,0
2025-05-18 11:26:02,1
2025-05-18 11:27:03,0
2025-05-18 11:28:02,1
2025-05-18 11:29:03,0
2025-05-18 11:30:02,1
2025-05-18 11:31:03,0
2025-05-18 11:32:01,1
2025-05-18 11:33:03,0
2025-05-18 11:34:01,1
2025-05-18 11:35:02,0
2025-05-18 11:36:02,1
