Time,State
2025-05-16 16:04:04,1
2025-05-16 16:10:15,0
2025-05-17 13:22:12,1
2025-05-17 13:22:24,0
2025-05-17 13:23:07,1
2025-05-17 13:23:31,0
2025-05-17 16:53:17,1
2025-05-17 16:53:33,0
2025-05-17 16:54:07,1
2025-05-17 16:54:13,1
2025-05-17 16:54:23,0
2025-05-20 13:16:05,1
2025-05-20 13:16:19,0
2025-05-20 13:17:05,1
2025-05-20 13:17:15,0
2025-05-20 13:18:05,1
2025-05-20 13:18:15,0
2025-05-20 13:23:06,1
2025-05-20 13:23:12,0
2025-05-20 13:24:05,1
2025-05-20 13:24:11,0
2025-05-20 13:25:05,1
2025-05-20 13:25:13,0
2025-05-20 13:26:05,1
2025-05-20 13:26:13,0
2025-05-20 13:27:05,1
2025-05-20 13:27:14,0
2025-05-20 13:28:05,1
2025-05-20 13:28:09,0
2025-05-20 13:29:09,1
2025-05-20 13:29:13,0
2025-05-20 13:30:10,1
2025-05-20 13:30:20,0
2025-05-20 13:31:10,1
2025-05-20 13:31:14,0
2025-05-20 13:32:06,1
2025-05-20 13:32:14,0
2025-05-20 13:33:07,1
2025-05-20 13:33:11,0
2025-05-20 13:34:07,1
2025-05-20 13:34:12,0
2025-05-20 13:35:05,1
2025-05-20 13:35:07,0
2025-05-20 13:36:05,1
2025-05-20 13:36:17,0
2025-05-20 13:37:05,1
2025-05-20 13:37:10,0
2025-05-20 13:38:06,1
2025-05-20 13:38:19,0
2025-05-20 13:39:06,1
2025-05-20 13:39:11,0
2025-05-20 13:40:06,1
2025-05-20 13:40:14,0
2025-05-20 13:41:06,1
2025-05-20 13:41:13,0
2025-05-20 13:42:06,1
2025-05-20 13:42:10,0
2025-05-20 13:43:06,1
2025-05-20 13:43:12,0
2025-05-20 13:44:06,1
2025-05-20 13:44:10,0
2025-05-20 13:45:06,1
2025-05-20 13:45:10,0
2025-05-20 13:46:05,1
2025-05-20 13:46:11,0
2025-05-20 13:47:06,1
2025-05-20 13:47:10,0
2025-05-20 13:48:06,1
2025-05-20 13:48:10,0
2025-05-20 13:49:06,1
2025-05-20 13:49:11,0
2025-05-22 03:08:45,0
2025-05-22 10:11:11,1
2025-05-22 10:11:18,0
2025-05-22 14:30:05,1
2025-05-22 14:30:10,0
2025-05-22 15:52:05,1
2025-05-22 15:57:06,0
2025-05-22 18:30:06,1
2025-05-22 18:30:11,0
2025-05-23 16:54:05,1
2025-05-23 16:54:18,0
