Time,Switch_state
2025-05-19 15:30:43,double click
2025-05-19 15:30:46,click
2025-05-19 15:31:03,double click
2025-05-19 15:31:36,double click
2025-05-19 15:32:07,double click
2025-05-21 12:14:51,double click
2025-05-21 12:15:11,double click
2025-05-21 12:16:16,click
2025-05-21 12:16:18,double click
2025-05-21 12:17:08,double click
2025-05-21 12:18:07,double click
2025-05-21 12:48:08,double click
2025-05-21 12:49:06,double click
2025-05-21 12:49:09,click
2025-05-21 12:50:05,double click
2025-05-21 12:51:13,double click
2025-05-21 13:43:49,double click
2025-05-21 13:44:07,double click
2025-05-21 14:21:07,double click
2025-05-21 14:22:13,double click
2025-05-21 14:23:06,double click
2025-05-21 14:47:25,double click
2025-05-21 14:47:33,double click
2025-05-21 15:13:07,double click
2025-05-21 15:25:09,double click
2025-05-21 15:26:06,double click
2025-05-21 15:27:10,double click
2025-05-21 16:00:31,double click
2025-05-22 11:13:32,double click
2025-05-22 11:14:06,double click
2025-05-22 11:37:10,double click
2025-05-22 11:37:12,click
2025-05-22 11:38:08,double click
2025-05-22 11:38:14,click
2025-05-22 11:39:11,click
2025-05-22 11:39:13,double click
2025-05-22 11:40:09,double click
2025-05-22 11:41:13,double click
2025-05-22 11:42:12,double click
2025-05-22 11:43:09,double click
2025-05-22 11:44:09,double click
