Time,Indoor_temperature
2025-05-15 00:01:14,24.89
2025-05-15 00:19:21,25.31
2025-05-15 00:33:36,24.81
2025-05-15 00:40:09,24.61
2025-05-15 00:54:24,24.26
2025-05-15 01:27:57,24.51
2025-05-15 01:47:35,24.86
2025-05-15 01:55:48,24.27
2025-05-15 02:30:42,23.84
2025-05-15 02:40:45,23.91
2025-05-15 02:44:47,23.92
2025-05-15 02:45:38,23.94
2025-05-15 03:07:57,24.46
2025-05-15 03:12:39,25.0
2025-05-15 03:17:51,25.55
2025-05-15 03:24:03,26.05
2025-05-15 03:34:47,26.57
2025-05-15 03:44:41,26.88
2025-05-15 03:55:45,27.1
2025-05-15 04:41:21,27.53
2025-05-15 05:01:49,27.57
2025-05-15 05:33:50,27.65
2025-05-15 05:57:18,27.6
2025-05-15 06:25:08,27.62
2025-05-15 06:56:09,27.67
2025-05-15 07:14:55,27.69
2025-05-15 07:18:37,27.69
2025-05-15 07:39:24,27.65
2025-05-15 08:12:06,27.93
2025-05-15 08:15:07,27.91
2025-05-15 08:43:57,27.72
2025-05-15 09:10:16,27.72
2025-05-15 10:05:45,27.72
2025-05-15 10:15:19,27.57
2025-05-15 11:02:46,27.29
2025-05-15 11:56:55,27.22
2025-05-15 11:57:45,27.23
2025-05-15 12:27:36,26.7
2025-05-15 12:31:08,26.17
2025-05-15 12:40:01,25.66
2025-05-15 12:55:57,25.21
2025-05-15 12:59:19,25.16
2025-05-15 13:19:46,25.1
2025-05-15 13:49:07,25.1
2025-05-15 13:59:01,25.02
2025-05-15 14:05:24,25.05
2025-05-15 15:25:34,25.28
2025-05-15 15:43:10,25.39
2025-05-15 15:54:55,25.21
2025-05-15 16:00:17,25.34
2025-05-15 16:25:26,24.83
2025-05-15 16:38:41,24.62
2025-05-15 17:21:18,24.43
2025-05-15 17:33:42,24.57
2025-05-15 17:37:54,24.51
2025-05-15 17:52:50,25.09
2025-05-15 19:08:39,25.7
2025-05-15 19:32:48,25.91
2025-05-15 19:46:43,25.18
2025-05-15 20:07:01,24.68
2025-05-15 20:14:54,24.76
2025-05-15 20:29:29,24.69
2025-05-15 20:42:55,24.74
2025-05-15 21:09:55,24.74
2025-05-15 21:17:38,25.27
2025-05-15 21:20:29,25.8
2025-05-15 21:22:41,26.31
2025-05-15 21:24:21,26.82
2025-05-15 21:27:33,27.38
2025-05-15 21:27:43,27.38
2025-05-15 21:28:24,27.69
2025-05-15 21:28:34,27.75
2025-05-15 21:50:42,28.34
2025-05-15 22:08:38,28.0
2025-05-15 22:11:19,27.5
2025-05-15 22:14:10,26.99
2025-05-15 22:18:02,26.49
2025-05-15 22:26:45,26.08
2025-05-15 22:27:46,25.97
2025-05-15 23:23:37,26.19
2025-05-16 00:02:01,26.18
2025-05-16 00:16:56,26.05
2025-05-16 00:20:58,26.04
2025-05-16 00:42:36,26.0
2025-05-16 01:13:17,25.91
2025-05-16 01:23:52,25.93
2025-05-16 02:01:15,25.81
2025-05-16 02:13:40,25.81
2025-05-16 02:34:08,25.79
2025-05-16 03:08:00,25.65
2025-05-16 03:10:01,25.66
2025-05-16 03:34:20,25.58
2025-05-16 04:04:52,25.51
2025-05-16 04:24:09,25.49
2025-05-16 04:44:17,25.44
2025-05-16 04:59:02,25.45
2025-05-16 05:45:00,25.38
2025-05-16 05:52:13,25.39
2025-05-16 06:04:18,25.37
2025-05-16 06:46:23,25.27
2025-05-16 06:58:48,25.25
2025-05-16 07:46:16,25.55
2025-05-16 08:13:36,25.35
2025-05-16 08:42:37,25.37
2025-05-16 09:36:37,25.48
2025-05-16 09:51:43,25.58
2025-05-16 10:30:37,25.87
2025-05-16 10:35:29,25.86
2025-05-16 11:27:38,26.01
2025-05-16 11:31:00,26.1
2025-05-16 11:48:17,26.44
2025-05-16 12:06:13,26.64
2025-05-16 12:18:18,26.84
2025-05-16 12:35:14,26.97
2025-05-16 13:00:53,27.09
2025-05-16 13:10:47,27.22
