Datetime,RSSI1,RSSI2,RSSI3,RSSI4,RSSI5,RSSI6,RSSI7,RSSI8,RSSI9,RSSI10
2025-05-15 08:36:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:37:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:37:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:37:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:37:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:37:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:37:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:38:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:38:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:38:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:38:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:38:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:38:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:39:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:39:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:39:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:39:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:39:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:39:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:40:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:40:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:40:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:40:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:40:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:40:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:41:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:41:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:41:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:41:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:41:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:41:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:42:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:42:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:42:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:42:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:42:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:42:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:43:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:43:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:43:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:43:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
