Time,Energy_Consumption(Wh)
2025-05-25 00:00:13,5644677.0
2025-05-25 12:23:39,5644688.0
2025-05-25 13:23:33,5644888.0
2025-05-25 14:23:27,5645049.0
2025-05-25 15:23:21,5645168.0
2025-05-25 16:23:14,5645313.0
2025-05-25 17:46:58,5645475.0
2025-05-25 19:46:47,5645770.0
2025-05-25 20:46:41,5645893.0
2025-05-25 21:46:35,5646013.0
2025-05-25 22:46:29,5646129.0
2025-05-25 23:46:23,5646164.0
2025-05-26 00:46:17,5646184.0
2025-05-26 01:46:11,5646205.0
2025-05-26 02:46:05,5646226.0
2025-05-26 03:46:00,5646247.0
2025-05-26 04:45:54,5646268.0
2025-05-26 05:45:49,5646289.0
2025-05-26 06:45:44,5646310.0
2025-05-26 07:45:38,5646331.0
2025-05-26 08:45:33,5646352.0
2025-05-26 09:45:28,5646402.0
2025-05-26 10:45:22,5646557.0
2025-05-26 11:45:16,5646708.0
2025-05-26 13:05:28,5646852.0
2025-05-26 14:05:22,5647022.0
2025-05-26 15:05:16,5647239.0
2025-05-26 16:05:10,5647597.0
2025-05-26 17:05:03,5648092.0
2025-05-26 18:04:56,5648524.0
2025-05-26 19:04:50,5648922.0
2025-05-26 20:04:43,5649278.0
2025-05-26 21:04:35,5649484.0
2025-05-26 22:04:30,5649858.0
2025-05-26 23:04:24,5650313.0
2025-05-27 00:04:18,5650658.0
2025-05-27 08:16:06,5650669.0
2025-05-27 09:15:59,5651084.0
2025-05-27 10:15:54,5651220.0
2025-05-27 11:15:48,5651336.0
2025-05-27 12:15:44,5651467.0
2025-05-27 13:15:38,5651610.0
2025-05-27 14:15:32,5651750.0
2025-05-27 15:15:26,5651865.0
2025-05-27 16:15:21,5651995.0
2025-05-27 17:15:15,5652132.0
2025-05-27 18:15:09,5652255.0
2025-05-27 19:15:04,5652365.0
2025-05-27 20:14:59,5652485.0
2025-05-27 21:14:54,5652611.0
2025-05-27 22:14:48,5652716.0
2025-05-27 23:14:42,5652826.0
2025-05-28 00:14:37,5652937.0
2025-05-28 01:14:31,5653056.0
2025-05-28 02:14:26,5653152.0
2025-05-28 03:14:21,5653196.0
2025-05-28 04:14:16,5653215.0
2025-05-28 05:14:10,5653234.0
2025-05-28 06:14:05,5653254.0
2025-05-28 07:14:01,5653275.0
2025-05-28 08:13:56,5653296.0
2025-05-28 09:13:51,5653316.0
2025-05-28 10:13:46,5653336.0
2025-05-28 11:13:41,5653357.0
2025-05-28 12:13:36,5653377.0
2025-05-28 13:13:30,5653397.0
2025-05-28 14:13:25,5653418.0
2025-05-28 15:13:20,5653438.0
2025-05-28 16:13:14,5653459.0
2025-05-28 17:13:09,5653479.0
2025-05-28 18:13:04,5653499.0
2025-05-28 19:12:59,5653520.0
2025-05-28 20:12:54,5653541.0
2025-05-28 21:12:49,5653561.0
2025-05-28 22:12:43,5653582.0
2025-05-28 23:12:38,5653603.0
2025-05-29 00:12:34,5653623.0
2025-05-29 01:12:29,5653643.0
2025-05-29 02:12:24,5653663.0
2025-05-29 03:12:20,5653682.0
2025-05-29 09:36:20,5653693.0
2025-05-29 10:36:14,5653727.0
2025-05-29 11:36:09,5653868.0
2025-05-29 12:36:05,5654010.0
2025-05-29 13:36:00,5654167.0
2025-05-29 14:35:54,5654353.0
2025-05-29 15:35:50,5654567.0
2025-05-29 16:35:43,5654792.0
2025-05-29 17:35:37,5654991.0
2025-05-29 18:35:31,5655183.0
2025-05-29 19:35:28,5655487.0
2025-05-29 20:35:22,5655756.0
2025-05-29 21:35:16,5655928.0
2025-05-29 22:35:10,5656068.0
2025-05-29 23:35:04,5656148.0
2025-05-30 08:43:19,5656159.0
2025-05-30 09:43:12,5656587.0
2025-05-30 10:43:07,5656761.0
2025-05-30 11:43:01,5656907.0
2025-05-30 12:42:55,5657073.0
2025-05-30 13:42:48,5657371.0
2025-05-30 14:42:41,5658066.0
2025-05-30 15:42:34,5658500.0
2025-05-30 16:42:27,5658882.0
2025-05-30 17:42:20,5659109.0
2025-05-30 18:42:14,5659410.0
2025-05-30 19:42:08,5659637.0
2025-05-30 20:42:01,5659812.0
2025-05-30 21:43:02,5660357.0
2025-05-30 22:43:26,5660754.0
2025-05-30 23:43:32,5660795.0
