Time,Switch_State,Wind_Speed,Setpoint
2025-05-25 00:00:00,off,middle,30
2025-05-25 00:16:00,off,middle,30
2025-05-25 01:00:00,off,middle,30
2025-05-25 02:00:00,off,middle,30
2025-05-25 03:00:00,off,middle,30
2025-05-25 04:00:00,off,middle,30
2025-05-25 05:00:00,off,middle,30
2025-05-25 06:00:00,off,middle,30
2025-05-25 07:00:00,off,middle,30
2025-05-25 08:00:00,off,middle,30
2025-05-25 09:00:00,off,middle,30
2025-05-25 10:00:00,off,middle,30
2025-05-25 11:00:00,off,middle,30
2025-05-25 12:00:00,off,middle,30
2025-05-25 12:21:00,on,middle,26
2025-05-26 00:00:00,on,middle,26
2025-05-26 20:43:00,off,middle,30
2025-05-27 08:14:00,on,middle,26
2025-05-28 00:00:00,on,middle,26
2025-05-29 03:06:00,off,middle,30
2025-05-29 10:33:00,on,middle,26
2025-05-29 23:13:00,off,middle,30
2025-05-30 08:41:00,on,middle,26
2025-05-30 20:00:00,on,middle,26
2025-05-30 20:49:00,off,middle,30
2025-05-30 23:59:00,off,middle,30
