Time,State
2025-05-25 12:22:21,1
2025-05-26 10:59:49,0
2025-05-26 12:48:35,1
2025-05-26 17:42:10,0
2025-05-27 08:14:37,1
2025-05-27 08:47:20,0
2025-05-27 09:41:12,1
2025-05-27 13:51:50,0
2025-05-27 17:38:59,1
2025-05-27 17:44:44,0
2025-05-28 08:52:47,1
2025-05-28 11:34:51,0
2025-05-28 14:26:03,1
2025-05-28 20:54:16,0
2025-05-29 14:21:29,1
2025-05-29 14:58:14,0
2025-05-29 14:58:20,1
2025-05-29 20:04:10,0
2025-05-30 08:42:39,1
2025-05-30 09:56:56,0
2025-05-30 12:04:41,1
2025-05-30 14:58:10,0
2025-05-30 16:37:28,1
2025-05-30 17:06:57,0
2025-05-30 18:07:07,1
2025-05-30 19:16:24,0
