Time,Illuminance(lux)
2025-05-15 16:09:22,408.0
2025-05-15 17:04:01,406.0
2025-05-15 17:58:41,404.0
2025-05-15 18:53:20,398.0
2025-05-15 19:47:59,396.0
2025-05-15 19:57:17,157.0
2025-05-15 19:57:22,132.0
2025-05-15 20:42:14,109.0
2025-05-15 20:42:39,108.0
2025-05-15 20:48:43,78.0
2025-05-15 20:49:28,31.0
2025-05-15 20:56:45,20.0
2025-05-15 20:59:29,96.0
2025-05-15 20:59:39,28.0
2025-05-15 20:59:43,18.0
2025-05-15 21:09:10,100.0
2025-05-15 21:09:15,23.0
2025-05-15 21:09:19,13.0
2025-05-15 21:19:25,95.0
2025-05-15 21:22:49,79.0
2025-05-15 21:22:54,64.0
2025-05-15 21:23:29,51.0
2025-05-15 21:23:34,94.0
2025-05-15 21:26:42,77.0
2025-05-15 21:27:12,46.0
2025-05-15 21:28:07,56.0
2025-05-15 21:30:06,48.0
2025-05-15 21:31:10,101.0
2025-05-15 21:37:18,104.0
2025-05-15 22:31:57,102.0
2025-05-15 23:26:36,102.0
2025-05-15 23:35:54,0.0
2025-05-16 00:21:16,0.0
2025-05-16 01:15:55,0.0
2025-05-16 02:10:35,0.0
2025-05-16 03:05:14,0.0
2025-05-16 03:59:53,0.0
2025-05-16 04:54:33,0.0
2025-05-16 05:49:12,0.0
2025-05-16 06:05:57,19.0
2025-05-16 06:06:02,10.0
2025-05-16 06:43:51,12.0
2025-05-16 07:34:27,17.0
2025-05-16 07:37:01,108.0
2025-05-16 07:38:30,114.0
2025-05-16 07:53:31,128.0
2025-05-16 08:12:04,155.0
2025-05-16 08:14:42,131.0
2025-05-16 08:33:10,124.0
2025-05-16 09:25:00,155.0
2025-05-16 09:26:15,185.0
2025-05-16 09:27:49,201.0
2025-05-16 09:28:41,224.0
2025-05-16 09:29:26,188.0
2025-05-16 09:29:50,224.0
2025-05-16 09:30:25,176.0
2025-05-16 09:31:45,218.0
2025-05-16 09:32:39,179.0
2025-05-16 09:33:49,245.0
2025-05-16 09:35:03,205.0
2025-05-16 09:36:18,162.0
2025-05-16 09:36:23,60.0
2025-05-16 09:36:28,174.0
2025-05-16 09:36:38,234.0
2025-05-16 09:37:12,410.0
2025-05-16 09:37:17,487.0
2025-05-16 09:54:06,413.0
2025-05-16 10:04:21,488.0
2025-05-16 10:07:50,414.0
2025-05-16 10:17:11,497.0
2025-05-16 10:22:04,422.0
2025-05-16 10:22:29,417.0
2025-05-16 10:45:37,341.0
2025-05-16 10:46:26,234.0
2025-05-16 10:47:06,164.0
2025-05-16 10:47:21,128.0
2025-05-16 10:48:06,108.0
2025-05-16 10:48:11,220.0
2025-05-16 10:48:26,184.0
2025-05-16 10:48:50,144.0
2025-05-16 10:49:10,196.0
2025-05-16 10:50:00,128.0
2025-05-16 10:50:50,171.0
2025-05-16 10:51:10,248.0
2025-05-16 10:51:24,305.0
2025-05-16 10:51:29,226.0
2025-05-16 10:52:29,201.0
2025-05-16 10:52:34,409.0
2025-05-16 10:59:11,331.0
2025-05-16 10:59:16,157.0
2025-05-16 11:01:50,133.0
2025-05-16 11:17:09,152.0
2025-05-16 11:31:20,157.0
2025-05-16 11:51:12,133.0
2025-05-16 12:04:22,157.0
2025-05-16 12:11:49,149.0
2025-05-16 12:30:43,133.0
2025-05-16 12:32:52,383.0
2025-05-16 13:06:29,400.0
2025-05-16 13:22:15,161.0
2025-05-16 13:22:20,134.0
2025-05-16 14:01:09,127.0
2025-05-16 14:06:14,377.0
2025-05-16 14:52:11,245.0
2025-05-16 14:52:16,141.0
2025-05-16 15:01:14,375.0
2025-05-16 15:50:29,387.0
2025-05-16 17:39:48,376.0
2025-05-16 18:34:27,370.0
2025-05-16 19:29:07,364.0
2025-05-16 20:05:14,215.0
2025-05-16 20:05:18,101.0
2025-05-16 20:23:46,90.0
2025-05-16 20:44:15,82.0
2025-05-16 20:45:19,291.0
2025-05-16 20:46:14,121.0
2025-05-16 20:46:19,81.0
2025-05-16 20:46:44,34.0
2025-05-16 20:50:02,59.0
2025-05-16 20:50:12,71.0
2025-05-16 20:53:11,49.0
2025-05-16 20:54:50,42.0
2025-05-16 20:58:09,35.0
2025-05-16 21:00:03,28.0
2025-05-16 21:00:28,68.0
2025-05-16 21:18:26,73.0
2025-05-16 21:46:41,44.0
2025-05-16 21:48:51,66.0
2025-05-16 21:56:57,28.0
2025-05-16 21:57:02,67.0
2025-05-16 21:57:12,85.0
2025-05-16 21:58:37,0.0
2025-05-16 22:13:06,0.0
2025-05-16 23:07:46,0.0
2025-05-17 00:02:26,0.0
2025-05-17 00:57:06,0.0
2025-05-17 01:51:47,0.0
2025-05-17 02:46:27,0.0
2025-05-17 03:41:07,0.0
2025-05-17 04:35:47,0.0
2025-05-17 05:30:27,0.0
2025-05-17 05:42:24,18.0
2025-05-17 05:42:29,10.0
2025-05-17 06:25:07,15.0
2025-05-17 06:29:07,17.0
2025-05-17 07:19:47,18.0
2025-05-17 07:50:02,24.0
2025-05-17 07:55:45,31.0
2025-05-17 08:11:33,38.0
2025-05-17 08:12:03,47.0
2025-05-17 08:12:13,78.0
2025-05-17 08:12:18,108.0
2025-05-17 08:12:38,87.0
2025-05-17 08:12:43,70.0
2025-05-17 08:12:58,57.0
2025-05-17 08:13:13,49.0
2025-05-17 08:13:33,41.0
2025-05-17 08:14:27,37.0
2025-05-17 08:15:24,34.0
2025-05-17 08:18:18,41.0
2025-05-17 08:19:22,115.0
2025-05-17 08:32:47,141.0
2025-05-17 08:35:41,181.0
2025-05-17 08:37:30,150.0
2025-05-17 08:38:40,178.0
2025-05-17 08:39:54,151.0
2025-05-17 08:44:17,188.0
2025-05-17 08:45:32,222.0
2025-05-17 08:47:16,172.0
2025-05-17 08:48:31,207.0
2025-05-17 08:49:16,168.0
2025-05-17 08:50:45,142.0
2025-05-17 08:52:14,171.0
2025-05-17 08:52:39,202.0
2025-05-17 08:53:04,159.0
2025-05-17 08:53:29,192.0
2025-05-17 08:54:53,158.0
2025-05-17 08:55:48,187.0
2025-05-17 08:56:48,158.0
2025-05-17 08:58:17,134.0
2025-05-17 09:09:08,135.0
2025-05-17 09:14:03,163.0
2025-05-17 09:14:18,199.0
2025-05-17 09:15:07,167.0
2025-05-17 09:17:31,197.0
2025-05-17 09:20:45,241.0
2025-05-17 09:24:48,203.0
2025-05-17 09:25:18,167.0
2025-05-17 09:33:40,141.0
2025-05-17 09:47:00,119.0
2025-05-17 10:03:48,123.0
2025-05-17 10:11:42,145.0
2025-05-17 10:16:54,123.0
2025-05-17 10:20:38,167.0
2025-05-17 10:20:43,360.0
2025-05-17 10:31:19,147.0
2025-05-17 10:31:24,121.0
2025-05-17 10:48:31,341.0
2025-05-17 10:58:28,379.0
2025-05-17 11:53:07,388.0
2025-05-17 12:10:52,402.0
2025-05-17 12:47:47,372.0
2025-05-17 13:42:28,362.0
2025-05-17 14:18:00,341.0
2025-05-17 14:37:08,352.0
2025-05-17 15:31:47,349.0
2025-05-17 16:26:27,323.0
2025-05-17 17:21:07,322.0
2025-05-17 18:15:47,347.0
2025-05-17 18:19:17,122.0
2025-05-17 18:19:22,97.0
2025-05-17 19:10:26,92.0
2025-05-17 20:05:06,91.0
2025-05-17 20:59:45,90.0
2025-05-17 21:54:25,91.0
2025-05-17 22:49:06,91.0
2025-05-17 23:10:04,21.0
2025-05-17 23:10:09,83.0
2025-05-17 23:43:45,91.0
2025-05-18 00:38:24,91.0
2025-05-18 00:41:35,0.0
2025-05-18 01:33:03,0.0
2025-05-18 02:27:43,0.0
2025-05-18 03:22:23,0.0
2025-05-18 04:17:03,0.0
2025-05-18 05:11:43,0.0
2025-05-18 05:50:15,18.0
2025-05-18 05:50:20,10.0
2025-05-18 06:06:24,11.0
2025-05-18 07:01:04,16.0
2025-05-18 07:12:07,17.0
2025-05-18 07:55:45,21.0
2025-05-18 08:03:39,24.0
2025-05-18 08:19:12,103.0
2025-05-18 08:50:25,103.0
2025-05-18 09:45:05,115.0
2025-05-18 10:10:02,122.0
2025-05-18 10:39:45,118.0
2025-05-18 11:06:01,144.0
2025-05-18 11:10:24,170.0
2025-05-18 11:34:25,136.0
2025-05-18 11:53:14,122.0
2025-05-18 12:29:04,127.0
2025-05-18 13:23:44,118.0
2025-05-18 13:56:33,103.0
2025-05-18 14:18:24,107.0
2025-05-18 14:54:56,122.0
2025-05-18 15:13:04,125.0
2025-05-18 16:07:43,123.0
2025-05-18 17:02:23,108.0
2025-05-18 17:23:06,103.0
2025-05-18 17:57:02,104.0
2025-05-18 18:51:41,95.0
2025-05-18 19:46:20,92.0
2025-05-18 20:41:00,91.0
2025-05-18 21:35:39,91.0
2025-05-18 22:30:19,91.0
2025-05-18 23:24:58,91.0
2025-05-19 00:19:38,91.0
2025-05-19 00:52:52,0.0
2025-05-19 01:14:18,0.0
2025-05-19 02:08:57,0.0
2025-05-19 03:03:37,0.0
2025-05-19 03:58:18,0.0
2025-05-19 04:52:58,0.0
2025-05-19 05:47:38,0.0
2025-05-19 05:49:54,18.0
2025-05-19 05:49:59,10.0
2025-05-19 06:29:58,17.0
2025-05-19 06:42:18,21.0
2025-05-19 07:13:13,98.0
2025-05-19 07:29:32,116.0
2025-05-19 07:36:59,131.0
2025-05-19 08:11:37,143.0
2025-05-19 08:16:05,169.0
2025-05-19 08:22:22,199.0
2025-05-19 08:29:39,168.0
2025-05-19 08:31:14,199.0
2025-05-19 08:31:38,207.0
2025-05-19 08:35:39,331.0
2025-05-19 08:35:44,434.0
2025-05-19 08:36:38,215.0
2025-05-19 08:36:43,163.0
2025-05-19 08:37:18,138.0
2025-05-19 08:40:07,165.0
2025-05-19 08:41:27,140.0
2025-05-19 08:42:01,166.0
2025-05-19 08:44:35,196.0
2025-05-19 08:45:20,416.0
2025-05-19 09:26:18,403.0
2025-05-19 09:40:15,195.0
2025-05-19 09:40:20,152.0
2025-05-19 09:42:04,182.0
2025-05-19 09:45:08,217.0
2025-05-19 09:45:48,181.0
2025-05-19 09:49:31,153.0
2025-05-19 09:50:55,190.0
2025-05-19 09:52:25,161.0
2025-05-19 10:01:36,195.0
2025-05-19 10:05:10,164.0
2025-05-19 10:13:01,197.0
2025-05-19 10:19:09,165.0
2025-05-19 10:20:58,163.0
2025-05-19 10:22:39,140.0
2025-05-19 10:29:07,165.0
2025-05-19 10:48:54,140.0
2025-05-19 10:51:13,167.0
2025-05-19 11:15:37,154.0
2025-05-19 11:45:32,141.0
2025-05-19 12:10:17,148.0
2025-05-19 12:15:22,167.0
2025-05-19 12:19:35,141.0
2025-05-19 12:26:33,167.0
2025-05-19 12:35:24,141.0
2025-05-19 13:04:57,142.0
2025-05-19 13:59:37,140.0
2025-05-19 14:54:16,135.0
2025-05-19 14:55:33,119.0
2025-05-19 15:48:56,124.0
2025-05-19 16:43:36,112.0
2025-05-19 17:38:15,104.0
2025-05-19 17:40:21,101.0
2025-05-19 18:28:16,315.0
2025-05-19 18:28:51,164.0
2025-05-19 18:28:56,327.0
2025-05-19 18:32:54,340.0
2025-05-19 19:27:34,332.0
2025-05-19 19:50:16,110.0
2025-05-19 19:50:21,85.0
2025-05-19 19:53:15,130.0
2025-05-19 19:53:20,314.0
2025-05-19 19:57:13,238.0
2025-05-19 19:57:18,100.0
2025-05-19 19:58:18,84.0
2025-05-19 20:22:13,85.0
2025-05-19 21:16:52,74.0
2025-05-19 22:11:32,83.0
2025-05-19 23:06:11,84.0
2025-05-19 23:32:57,0.0
2025-05-20 00:00:50,0.0
2025-05-20 00:55:30,0.0
2025-05-20 01:50:09,0.0
2025-05-20 02:44:48,0.0
2025-05-20 03:39:28,0.0
2025-05-20 04:34:07,0.0
2025-05-20 05:28:46,0.0
2025-05-20 05:38:14,17.0
2025-05-20 05:38:19,10.0
2025-05-20 06:06:43,17.0
2025-05-20 06:23:26,19.0
2025-05-20 06:58:54,24.0
2025-05-20 07:08:45,31.0
2025-05-20 07:15:12,38.0
2025-05-20 07:15:22,115.0
2025-05-20 07:18:06,122.0
2025-05-20 07:37:30,136.0
2025-05-20 07:41:08,115.0
2025-05-20 08:12:46,116.0
2025-05-20 08:17:11,138.0
2025-05-20 08:26:27,165.0
2025-05-20 08:31:25,138.0
2025-05-20 08:43:55,163.0
2025-05-20 08:49:08,193.0
2025-05-20 08:52:56,161.0
2025-05-20 08:57:29,200.0
2025-05-20 08:57:39,168.0
2025-05-20 09:00:23,198.0
2025-05-20 09:00:48,165.0
2025-05-20 09:07:25,168.0
2025-05-20 09:08:02,199.0
2025-05-20 09:08:51,169.0
