Time,State
2025-05-15 19:57:09,0
2025-05-16 09:37:06,1
2025-05-16 10:59:08,0
2025-05-16 12:32:45,1
2025-05-16 13:22:07,0
2025-05-16 14:06:06,1
2025-05-16 14:52:07,0
2025-05-16 15:01:06,1
2025-05-16 20:05:10,0
2025-05-16 20:45:10,1
2025-05-16 20:46:09,0
2025-05-17 10:20:33,1
2025-05-17 10:31:11,0
2025-05-17 10:48:23,1
2025-05-17 18:19:09,0
2025-05-19 08:35:33,1
2025-05-19 08:36:34,0
2025-05-19 08:45:11,1
2025-05-19 09:40:10,0
2025-05-19 18:28:09,1
2025-05-19 19:50:10,0
2025-05-19 19:53:10,1
2025-05-19 19:57:10,0
2025-05-20 10:12:16,1
2025-05-20 10:12:27,1
2025-05-20 10:19:15,0
2025-05-20 15:24:14,1
2025-05-20 20:00:11,0
2025-05-22 14:55:06,1
2025-05-22 15:05:08,0
2025-05-22 15:06:06,1
2025-05-22 20:41:09,0
