Time,Switch_state
2025-05-16 12:32:43,double click
2025-05-16 12:32:45,click
2025-05-16 14:01:34,double click
2025-05-16 14:02:10,double click
2025-05-16 14:03:09,double click
2025-05-16 14:04:08,double click
2025-05-16 14:05:10,double click
2025-05-16 15:00:30,double click
2025-05-16 20:43:07,double click
2025-05-16 20:43:12,double click
2025-05-16 20:43:17,double click
2025-05-16 20:44:13,double click
2025-05-16 20:45:10,click
2025-05-16 20:45:11,double click
2025-05-16 20:46:12,double click
2025-05-16 20:47:10,double click
2025-05-16 20:48:10,double click
2025-05-16 20:49:16,double click
2025-05-16 20:50:13,double click
2025-05-16 20:51:10,double click
2025-05-16 20:52:12,double click
2025-05-16 20:53:12,double click
2025-05-16 20:54:13,double click
2025-05-16 21:00:37,double click
2025-05-16 21:13:44,double click
2025-05-17 12:01:01,double click
2025-05-19 08:35:27,double click
2025-05-19 08:35:32,click
2025-05-19 08:35:34,double click
2025-05-19 08:35:38,double click
2025-05-19 08:36:32,click
2025-05-19 08:36:36,double click
2025-05-19 18:28:35,double click
2025-05-19 18:49:06,double click
2025-05-19 19:00:23,double click
2025-05-22 19:02:02,double click
2025-05-22 19:02:08,double click
