Time,Indoor_temperature
2025-05-15 00:18:09,26.37
2025-05-15 00:26:13,26.4
2025-05-15 00:39:29,26.3
2025-05-15 01:14:16,26.06
2025-05-15 01:25:31,25.99
2025-05-15 01:40:59,25.93
2025-05-15 02:18:07,25.72
2025-05-15 02:27:22,25.61
2025-05-15 03:10:02,25.55
2025-05-15 03:23:19,26.12
2025-05-15 03:37:35,26.62
2025-05-15 04:02:57,27.13
2025-05-15 04:04:28,27.09
2025-05-15 04:49:39,27.41
2025-05-15 04:55:52,27.41
2025-05-15 05:28:57,27.47
2025-05-15 05:46:55,27.48
2025-05-15 06:38:09,27.47
2025-05-15 06:50:15,27.48
2025-05-15 07:10:44,27.49
2025-05-15 07:26:21,27.54
2025-05-15 07:32:04,27.54
2025-05-15 07:58:16,27.47
2025-05-15 08:30:21,27.51
2025-05-15 08:33:23,27.4
2025-05-15 08:49:41,27.26
2025-05-15 09:29:48,27.69
2025-05-15 10:02:04,27.54
2025-05-15 10:19:32,27.21
2025-05-15 10:28:16,27.09
2025-05-15 11:11:06,26.93
2025-05-15 11:22:51,26.87
2025-05-15 11:53:46,27.1
2025-05-15 12:18:47,27.24
2025-05-15 12:38:37,26.58
2025-05-15 12:55:05,26.04
2025-05-15 13:16:15,25.96
2025-05-15 13:18:17,25.95
2025-05-15 13:57:15,25.95
2025-05-15 14:06:10,25.95
2025-05-15 14:09:11,25.95
2025-05-15 15:07:59,25.9
2025-05-15 15:12:12,25.9
2025-05-15 16:08:08,25.8
2025-05-15 16:28:49,25.38
2025-05-15 17:24:46,25.46
2025-05-15 17:39:33,25.54
2025-05-15 17:53:30,25.62
2025-05-15 17:57:23,25.57
2025-05-15 18:05:37,25.65
2025-05-15 18:13:01,25.64
2025-05-15 18:24:26,25.55
2025-05-15 18:37:43,25.49
2025-05-15 18:53:31,25.69
2025-05-15 18:57:13,25.79
2025-05-15 19:06:18,25.73
2025-05-15 19:44:16,25.93
2025-05-15 20:16:11,25.54
2025-05-15 20:37:02,25.3
2025-05-15 20:53:20,25.13
2025-05-15 21:16:51,25.17
2025-05-15 21:26:06,25.23
2025-05-15 21:32:19,25.27
2025-05-15 21:57:31,25.27
2025-05-15 22:28:47,25.31
2025-05-15 22:57:41,25.54
2025-05-15 23:26:35,25.64
2025-05-15 23:56:00,25.61
2025-05-16 00:08:36,25.52
2025-05-16 00:20:52,25.52
2025-05-16 00:27:26,25.46
2025-05-16 01:02:12,25.42
2025-05-16 01:17:50,25.37
2025-05-16 01:46:34,25.28
2025-05-16 02:09:05,25.28
2025-05-16 02:22:53,25.24
2025-05-16 03:09:25,25.1
2025-05-16 04:01:41,24.9
2025-05-16 04:24:23,24.86
2025-05-16 04:39:30,24.82
2025-05-16 04:59:50,24.86
2025-05-16 05:57:29,24.81
2025-05-16 05:59:00,24.81
2025-05-16 06:27:44,24.76
2025-05-16 06:55:38,24.74
2025-05-16 07:09:05,24.72
2025-05-16 07:20:31,24.71
2025-05-16 07:29:15,24.72
2025-05-16 07:54:08,24.83
2025-05-16 08:23:43,24.97
2025-05-16 08:51:47,25.17
2025-05-16 09:35:08,25.51
2025-05-16 09:51:26,25.64
2025-05-16 09:51:57,25.65
2025-05-16 10:32:36,26.17
2025-05-16 10:45:12,26.13
2025-05-16 11:30:04,26.24
2025-05-16 11:38:18,26.35
2025-05-16 11:48:14,26.5
2025-05-16 12:04:11,26.67
2025-05-16 12:24:31,26.99
2025-05-16 12:35:46,27.04
2025-05-16 12:53:26,27.13
2025-05-16 13:12:36,27.43
2025-05-16 13:29:24,27.51
2025-05-16 13:33:36,27.57
2025-05-16 13:59:29,27.73
2025-05-16 14:10:25,27.21
2025-05-16 14:21:20,26.69
2025-05-16 14:31:05,26.24
2025-05-16 14:32:37,26.19
2025-05-16 15:04:12,26.0
2025-05-16 15:23:11,25.96
2025-05-16 15:31:56,26.04
2025-05-16 16:08:44,26.26
2025-05-16 16:15:57,26.35
2025-05-16 17:10:34,26.47
2025-05-16 18:05:30,26.34
2025-05-16 18:36:55,26.27
2025-05-16 19:00:36,26.33
2025-05-16 19:16:04,26.37
2025-05-16 19:53:42,26.61
2025-05-16 19:57:35,26.47
2025-05-16 20:14:23,26.97
2025-05-16 20:21:56,27.48
2025-05-16 20:33:12,27.99
2025-05-16 20:42:16,28.2
2025-05-16 20:50:30,28.3
2025-05-16 21:20:34,28.57
2025-05-16 21:38:33,28.59
2025-05-16 21:46:26,28.5
2025-05-16 22:00:03,28.38
2025-05-16 22:23:44,28.07
2025-05-16 22:39:22,27.89
2025-05-16 22:50:38,27.82
2025-05-16 23:08:57,27.73
2025-05-16 23:14:40,27.73
2025-05-16 23:31:18,27.65
2025-05-17 00:07:05,27.66
2025-05-17 00:24:13,27.59
2025-05-17 01:14:57,27.52
2025-05-17 01:18:20,27.51
2025-05-17 01:41:00,27.43
2025-05-17 02:08:54,27.37
2025-05-17 02:37:48,27.29
2025-05-17 02:59:39,27.26
2025-05-17 03:05:52,27.27
2025-05-17 03:41:50,27.13
2025-05-17 03:53:46,27.09
2025-05-17 03:55:57,27.1
2025-05-17 04:23:10,27.04
2025-05-17 04:49:23,26.99
2025-05-17 05:14:46,26.93
2025-05-17 05:45:31,26.89
2025-05-17 06:18:07,26.82
