ID,State_t-5,State_t-4,State_t-3,State_t-2,State_t-1,State_t,State_predicted
1,outside,outside,outside,outside,outside,outside,outside
2,outside,outside,outside,outside,outside,outside,outside
3,stay,stay,stay,stay,stay,stay,outside
4,stay,stay,stay,stay,outside,stay,outside
5,stay,stay,stay,outside,outside,stay,outside
6,stay,stay,outside,outside,outside,stay,outside
7,stay,outside,outside,outside,outside,stay,outside
8,outside,outside,outside,outside,outside,stay,outside
9,outside,outside,outside,outside,outside,stay,outside
10,outside,outside,outside,outside,outside,stay,outside
11,outside,outside,outside,outside,outside,stay,outside
12,outside,outside,outside,outside,outside,stay,outside
13,outside,outside,outside,outside,outside,stay,outside
14,outside,outside,outside,outside,outside,stay,outside
15,outside,outside,outside,outside,outside,stay,outside
16,outside,outside,outside,outside,outside,stay,outside
17,outside,outside,outside,outside,stay,stay,outside
18,outside,outside,outside,stay,outside,stay,outside
19,outside,outside,stay,outside,outside,stay,outside
20,outside,stay,outside,outside,outside,stay,outside
21,stay,outside,outside,outside,outside,stay,outside
22,outside,outside,outside,outside,outside,stay,outside
23,outside,outside,outside,outside,stay,stay,outside
24,outside,outside,outside,stay,outside,stay,outside
25,outside,outside,stay,outside,outside,stay,outside
26,stay,outside,outside,outside,stay,stay,outside
27,outside,outside,outside,stay,outside,stay,outside
28,outside,outside,stay,outside,outside,stay,outside
29,outside,stay,outside,outside,outside,stay,outside
30,stay,outside,outside,outside,outside,stay,outside
31,outside,outside,outside,outside,outside,stay,outside
32,outside,outside,outside,outside,outside,stay,outside
33,outside,outside,outside,outside,outside,stay,outside
34,outside,outside,outside,outside,outside,stay,outside
35,outside,outside,outside,outside,outside,stay,outside
36,outside,outside,outside,outside,outside,stay,outside
37,outside,outside,outside,outside,outside,stay,outside
38,outside,outside,outside,outside,outside,stay,outside
39,stay,stay,stay,stay,stay,stay,outside
40,stay,stay,stay,stay,outside,stay,outside
41,stay,stay,stay,outside,outside,stay,outside
42,stay,stay,stay,stay,stay,stay,outside
43,stay,stay,stay,stay,outside,stay,outside
44,stay,stay,stay,outside,outside,stay,outside
45,stay,stay,outside,outside,outside,stay,outside
46,stay,outside,outside,outside,outside,stay,outside
47,outside,outside,outside,outside,outside,stay,outside
48,outside,outside,outside,outside,outside,stay,outside
49,outside,outside,outside,outside,outside,stay,outside
50,outside,outside,outside,outside,outside,stay,outside
51,outside,outside,outside,outside,outside,stay,outside
52,stay,stay,stay,leave,stay,outside,outside
53,stay,stay,leave,stay,outside,outside,outside
54,stay,leave,stay,outside,outside,outside,outside
55,leave,stay,outside,outside,outside,outside,outside
56,stay,outside,outside,outside,outside,outside,outside
57,outside,outside,outside,outside,outside,outside,outside
58,outside,outside,outside,outside,outside,outside,outside
59,outside,outside,outside,outside,outside,outside,outside
60,outside,outside,outside,outside,outside,outside,outside
61,outside,outside,outside,outside,outside,outside,outside
62,outside,outside,outside,outside,outside,outside,outside
63,outside,outside,outside,outside,outside,outside,outside
64,outside,outside,outside,outside,outside,outside,outside
65,outside,outside,outside,outside,outside,outside,outside
66,outside,outside,outside,outside,outside,outside,outside
67,outside,outside,outside,outside,outside,outside,outside
68,outside,outside,outside,outside,outside,outside,outside
69,outside,outside,outside,outside,outside,outside,outside
70,outside,outside,outside,outside,outside,outside,outside
71,outside,outside,outside,outside,outside,outside,outside
72,outside,outside,outside,outside,outside,outside,outside
73,outside,outside,outside,outside,outside,outside,outside
74,outside,outside,outside,outside,outside,outside,outside
75,outside,outside,outside,outside,outside,outside,outside
76,outside,outside,outside,outside,outside,outside,outside
77,outside,outside,outside,outside,outside,outside,outside
78,outside,outside,outside,outside,outside,outside,outside
79,outside,outside,outside,outside,outside,outside,outside
80,outside,outside,outside,outside,outside,outside,outside
81,outside,outside,outside,outside,outside,outside,outside
82,outside,outside,outside,outside,outside,outside,outside
83,outside,outside,outside,outside,outside,outside,outside
84,outside,outside,outside,outside,outside,outside,outside
85,outside,outside,outside,outside,outside,outside,outside
86,outside,outside,outside,outside,outside,outside,outside
87,outside,outside,outside,outside,outside,outside,outside
88,outside,outside,outside,outside,outside,outside,outside
89,outside,outside,outside,outside,outside,outside,outside
90,outside,outside,outside,outside,outside,outside,outside
91,outside,outside,outside,outside,outside,outside,outside
92,outside,outside,outside,outside,outside,outside,outside
93,outside,outside,outside,outside,outside,outside,outside
94,outside,outside,outside,outside,outside,outside,outside
95,outside,outside,outside,outside,outside,outside,outside
96,outside,outside,outside,outside,outside,outside,outside
97,outside,outside,outside,outside,outside,outside,outside
98,outside,outside,outside,outside,outside,outside,outside
99,outside,outside,outside,outside,outside,outside,outside
100,outside,outside,outside,outside,outside,outside,outside
101,outside,outside,outside,outside,outside,outside,outside
102,outside,outside,outside,outside,outside,outside,outside
103,outside,outside,outside,outside,outside,outside,outside
104,outside,outside,outside,outside,outside,outside,outside
105,outside,outside,outside,outside,outside,outside,outside
106,outside,outside,outside,outside,outside,outside,outside
107,outside,outside,outside,outside,outside,outside,outside
108,outside,outside,outside,outside,outside,outside,outside
109,stay,stay,stay,stay,stay,stay,outside
110,stay,stay,stay,stay,outside,stay,outside
111,stay,stay,stay,outside,outside,stay,outside
112,stay,stay,outside,outside,outside,stay,outside
113,stay,outside,outside,outside,outside,stay,outside
114,outside,outside,outside,outside,outside,stay,outside
115,outside,outside,outside,outside,outside,stay,outside
116,outside,outside,outside,outside,outside,stay,outside
117,outside,outside,outside,outside,arrival,stay,outside
118,outside,outside,outside,arrival,outside,stay,outside
